,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
E6,0,2.66942976198139,0.927,0,0,E6,up
E7,1.54497920547295e-222,0.620237618371187,0.432,0,5.65601437331593e-218,E7,up
STMN1,2.09665068403567e-211,1.20613970673023,0.853,0.423,7.67562848918617e-207,STMN1,up
HMGN2,2.05896380260279e-165,0.969517430780496,0.934,0.721,7.53766058494855e-161,HMGN2,up
CKS1B,3.63090047895639e-164,0.740685422838111,0.652,0.228,1.32923635634114e-159,CKS1B,up
TUBA1B,4.72521152819272e-158,1.0049368441095,0.869,0.575,1.72985268835607e-153,TUBA1B,up
PTMA,1.35103353752755e-157,0.705623264727827,0.993,0.952,4.94599867753459e-153,PTMA,up
SYCP2,3.41062031722744e-156,0.538642048156997,0.627,0.19,1.2485939919338e-151,SYCP2,up
E2,6.33664572562655e-155,0.588998736172009,0.321,0,2.31978263369462e-150,E2,up
NUCKS1,2.55765363978241e-154,0.880947010882066,0.877,0.575,9.36331420987943e-150,NUCKS1,up
DEK,3.70070049888984e-151,0.658457303023072,0.917,0.672,1.35478944563858e-146,DEK,up
PLP2,2.8825773665037e-148,0.796681571167831,0.881,0.555,1.05528274810334e-143,PLP2,up
NPM1,5.35588630227695e-147,0.71494040874985,0.95,0.748,1.96073641640057e-142,NPM1,up
E1,2.60136885160291e-146,0.503932725475469,0.305,0,9.52335122883309e-142,E1,up
NME2,4.14427720922807e-142,0.776131127207491,0.911,0.664,1.5171784435263e-137,NME2,up
SMC1B,2.09273544759699e-141,0.424782359849277,0.501,0.108,7.66129520010781e-137,SMC1B,up
MCM2,4.62888089363689e-140,0.490394473981974,0.515,0.125,1.69458700635153e-135,MCM2,up
TAGLN2,1.31141637709699e-139,0.775202994464621,0.947,0.775,4.80096421491438e-135,TAGLN2,up
SMC4,1.0429366089365e-138,0.701605233099437,0.82,0.443,3.81808663165565e-134,SMC4,up
KRT5,8.70973935789579e-137,0.83168907350139,0.945,0.646,3.18854848153207e-132,KRT5,up
H2AFZ,2.97202486359574e-136,0.799654637471869,0.91,0.701,1.08802858231376e-131,H2AFZ,up
SNRPF,3.98990359103473e-136,0.618183233635875,0.825,0.481,1.4606638056419e-131,SNRPF,up
GAPDH,5.48076939143014e-134,0.731810106773723,0.986,0.926,2.00645486650866e-129,GAPDH,up
RAN,1.53840188271907e-132,0.695299082906484,0.897,0.665,5.63193545244624e-128,RAN,up
SNRPD1,1.56597042856826e-132,0.607639212640323,0.797,0.455,5.73286114194554e-128,SNRPD1,up
S100A2,4.31322892344816e-132,0.900994929322493,0.966,0.762,1.57902997658514e-127,S100A2,up
PPIA,2.31460979115292e-131,0.648245187620396,0.974,0.885,8.47355498443172e-127,PPIA,up
HNRNPA1,7.96549225674117e-131,0.633022686120348,0.941,0.753,2.91608706027038e-126,HNRNPA1,up
TK1,3.14427266271387e-129,0.47470529249548,0.498,0.125,1.15108677909292e-124,TK1,up
