,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
E6,3.19829448891918e-254,2.47738236432478,0.945,0,1.17086362944842e-249,E6,up
CDKN2A,2.23871665759173e-155,2.24243706878122,0.94,0.146,8.19571781177756e-151,CDKN2A,up
E2,1.02992243892824e-144,0.711898355061634,0.574,0,3.77044305667239e-140,E2,up
SYCP2,2.12582744872653e-135,1.09872272564034,0.711,0.051,7.78244170704294e-131,SYCP2,up
E7,2.6371537307197e-127,0.595289950224281,0.511,0,9.65435609279177e-123,E7,up
SMC1B,8.11880556768046e-119,0.742787003607319,0.566,0.019,2.97221353027214e-114,SMC1B,up
SERPINB13,2.33185747610969e-118,2.19530989451263,0.8,0.112,8.53669703428995e-114,SERPINB13,up
CALML3,1.79981748481915e-114,1.81994725212228,0.86,0.135,6.58895183017444e-110,CALML3,up
CLEC2B,2.21110495528869e-112,1.62481615161229,0.864,0.191,8.09463413081637e-108,CLEC2B,up
GNGT1,4.73877830345077e-106,0.902348400503951,0.694,0.077,1.73481934911029e-101,GNGT1,up
SOX2,1.0723457597386e-104,1.14818099318132,0.702,0.09,3.92575059182705e-100,SOX2,up
CALML5,1.68128160784056e-103,1.78773710740769,0.574,0.04,6.15500383814349e-99,CALML5,up
PITX1,1.80608005177339e-103,1.32968796934756,0.872,0.14,6.61187846153722e-99,PITX1,up
LY6K,2.11275326969369e-100,0.917041951845433,0.723,0.113,7.73457844502163e-96,LY6K,up
FOXD1,5.06273577118106e-100,0.473728895228844,0.447,0.008,1.85341693847167e-95,FOXD1,up
CSTA,3.71316196295346e-95,1.83636125129672,0.885,0.248,1.35935146301763e-90,CSTA,up
DMRTA2,4.66584109533419e-95,0.52248395896778,0.438,0.01,1.70811776659089e-90,DMRTA2,up
ADH7,7.71314939247977e-95,1.00115154204912,0.502,0.028,2.82370686109292e-90,ADH7,up
E5,8.6479795409247e-95,0.402877260709159,0.387,0,3.16593883013712e-90,E5,up
KRT15,1.53608032519826e-93,2.57851291901729,0.928,0.363,5.62343646251829e-89,KRT15,up
MIR924HG,8.35429383089675e-91,1.32282009881091,0.702,0.115,3.05842342855299e-86,MIR924HG,up
ZFR2,9.58508406684729e-90,0.324849767446513,0.413,0.009,3.50900342603212e-85,ZFR2,up
CYP4B1,5.31647865442194e-86,0.969241939286736,0.647,0.099,1.94630967059733e-81,CYP4B1,up
GINS2,1.13517584722443e-84,0.643534897888923,0.6,0.076,4.15576525910392e-80,GINS2,up
MIR9-3HG,1.11915033909218e-82,0.298925366010359,0.366,0.005,4.09709747638257e-78,MIR9-3HG,up
TMPRSS11D,9.546499060265e-82,1.06346759965439,0.706,0.117,3.49487784097241e-77,TMPRSS11D,up
HS6ST2,3.64876934949776e-80,0.5252975466665,0.464,0.032,1.33577797115764e-75,HS6ST2,up
THSD4,7.9048859021871e-80,-2.32028051321706,0.54,0.933,2.89389967993168e-75,THSD4,down
KBTBD12,6.34305777290674e-79,0.449228627798259,0.438,0.025,2.32213002008343e-74,KBTBD12,up
PADI3,6.63577214680725e-79,0.5751926525615,0.391,0.014,2.42928982522466e-74,PADI3,up
STMN1,1.19508045214913e-78,1.60276134518913,0.877,0.324,4.37507002727273e-74,STMN1,up
E1,1.8041054264918e-77,0.364782350865887,0.319,0,6.60464955584383e-73,E1,up
FOXA1,2.39550046554771e-77,0.520707845851742,0.532,0.059,8.76968765432361e-73,FOXA1,up
DSG3,2.70682496903065e-77,1.74928156234408,0.702,0.129,9.90941552912432e-73,DSG3,up
