,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
CALML5,0,2.84135086356282,0.793,0.021,0,CALML5,up
E6,0,2.58445567760408,0.962,0,0,E6,up
E7,0,0.751273142041444,0.596,0,0,E7,up
SYCP2,6.12465887197516e-285,1.1149298089212,0.746,0.034,2.24217636644139e-280,SYCP2,up
CLEC2B,4.21884658156102e-278,1.93925106781171,0.883,0.068,1.54447754504367e-273,CLEC2B,up
MEI1,2.93684137994358e-275,0.839763157720485,0.62,0.016,1.07514826078355e-270,MEI1,up
E2,3.8378723201372e-274,0.571639973758927,0.465,0,1.40500667767903e-269,E2,up
CDKN2A,9.75132063330016e-268,2.56823770986171,0.962,0.097,3.56986097064485e-263,CDKN2A,up
CALML3,1.47667084566613e-253,1.89722262265758,0.873,0.064,5.40594429889913e-249,CALML3,up
PITX1,6.44447414419596e-239,1.74793962212787,0.925,0.086,2.3592575394487e-234,PITX1,up
SMC1B,1.25271957596324e-236,0.604491323591192,0.545,0.015,4.58608109564382e-232,SMC1B,up
SOX2,5.36933802050005e-234,0.874697241844115,0.653,0.031,1.96566095592486e-229,SOX2,up
CSTA,7.33197753590255e-232,2.11155766965004,0.878,0.084,2.68416365611856e-227,CSTA,up
ZFR2,1.60477958416114e-216,0.413662214095464,0.54,0.018,5.8749375796555e-212,ZFR2,up
NMU,1.91686440417483e-212,1.67894980025855,0.695,0.049,7.01744889724363e-208,NMU,up
SERPINB13,7.37404542856466e-200,1.59774419062192,0.662,0.043,2.69956429094324e-195,SERPINB13,up
MIR9-3HG,2.21259111234102e-199,0.296490370906129,0.418,0.007,8.10007480316923e-195,MIR9-3HG,up
BMP7,8.85648522005448e-198,0.993737795605246,0.817,0.088,3.24227067420975e-193,BMP7,up
EPHX3,3.32654864341617e-196,0.86475360468306,0.77,0.076,1.21781619286823e-191,EPHX3,up
MYBL2,2.43793001689965e-194,0.746384730525266,0.498,0.018,8.92501799886794e-190,MYBL2,up
CDKN2C,4.65274080341719e-190,0.587202115215722,0.606,0.039,1.703321880723e-185,CDKN2C,up
KRT6A,3.17997083099399e-187,2.22021701566787,0.878,0.11,1.16415552151859e-182,KRT6A,up
APOBEC3B,5.17174333366989e-183,0.700586030147649,0.516,0.025,1.89332351702321e-178,APOBEC3B,up
PKMYT1,2.42330572814804e-180,0.588725082411455,0.474,0.019,8.87147994017717e-176,PKMYT1,up
GINS2,6.87876697690441e-180,0.624161262348281,0.573,0.037,2.51824780257494e-175,GINS2,up
CENPU,6.51067209601101e-179,0.875799401235268,0.714,0.072,2.38349194762867e-174,CENPU,up
CDT1,1.80294410974767e-178,0.595844782714794,0.545,0.032,6.60039809137523e-174,CDT1,up
CEACAM5,3.25388919784707e-178,2.91081569371351,0.676,0.06,1.19121629643983e-173,CEACAM5,up
DSC3,2.27499852424383e-176,1.57241848338074,0.869,0.108,8.32854209740423e-172,DSC3,up
GPR87,7.92543345997713e-171,0.668030698021314,0.709,0.07,2.90142193536303e-166,GPR87,up
DSG3,3.35386057150211e-168,1.13395933776664,0.775,0.078,1.22781481662121e-163,DSG3,up
LY6K,3.904646075289e-166,1.46616533574726,0.869,0.157,1.42945188170255e-161,LY6K,up
MKI67,4.3239704525082e-166,1.38130781054103,0.502,0.028,1.58296234295873e-161,MKI67,up
LGALS7B,1.15853490242795e-165,1.81230468457987,0.718,0.076,4.24128042429847e-161,LGALS7B,up
CEACAM6,1.51245166545455e-164,3.14485146205407,0.69,0.073,5.53693430206256e-160,CEACAM6,up
CTCFL,4.18694288711061e-162,0.329885257169816,0.319,0.003,1.53279792154232e-157,CTCFL,up
MCM2,4.97256229692495e-162,0.908096224915777,0.695,0.083,1.82040533128125e-157,MCM2,up
CDC45,4.22298393073951e-161,0.58619413464604,0.437,0.018,1.54599218720443e-156,CDC45,up
CENPK,5.02412801217304e-160,0.606536397867725,0.62,0.055,1.83928302397643e-155,CENPK,up
FOXD1,8.98471777805035e-159,0.268218216185494,0.366,0.009,3.28921533136645e-154,FOXD1,up
SERPINB5,8.16181248050718e-158,1.45934710418718,0.859,0.125,2.98795793098887e-153,SERPINB5,up
