,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
E6,4.35857464370542e-212,2.60579138634638,0.923,0,1.59563059131412e-207,E6,up
E7,2.09978150887053e-145,0.840360073265296,0.668,0,7.68709012582414e-141,E7,up
E2,3.59566497536206e-140,0.90709480321564,0.647,0,1.3163369908303e-135,E2,up
CDKN2A,2.99229476923983e-126,2.11640889067335,0.974,0.219,1.09544919207101e-121,CDKN2A,up
SYCP2,1.66696725356995e-111,0.872690871179079,0.677,0.046,6.10260041859421e-107,SYCP2,up
NEFH,9.11549586629312e-109,0.936465039025245,0.685,0.054,3.33709188169125e-104,NEFH,up
E5,7.64932926776443e-105,0.535296518809818,0.498,0,2.80034295163588e-100,E5,up
SMC1B,8.60303195903244e-99,0.529970651996277,0.54,0.016,3.14948396988219e-94,SMC1B,up
ZFR2,7.4951780901898e-86,0.335136711038205,0.485,0.016,2.74390974703758e-81,ZFR2,up
PADI3,7.80975138905255e-86,0.636494639101608,0.596,0.053,2.85907188601825e-81,PADI3,up
GNGT1,3.25382584413886e-82,0.689505774169846,0.574,0.053,1.19119310328079e-77,GNGT1,up
MEI1,1.63395113000641e-80,0.572307830097394,0.511,0.032,5.98173169184048e-76,MEI1,up
TACSTD2,9.58801155766848e-78,1.96468887004181,0.987,0.888,3.51007515114685e-73,TACSTD2,up
PLAT,5.97669594475834e-74,1.55923241584263,0.864,0.256,2.18800861841658e-69,PLAT,up
EPHX3,3.74573027935792e-73,0.635304187335761,0.719,0.153,1.37127439797014e-68,EPHX3,up
CTCFL,2.84899441072877e-72,0.273095047486823,0.37,0.004,1.0429883638237e-67,CTCFL,up
ALG1L,5.8926377143456e-72,0.462050536494582,0.557,0.065,2.15723574084478e-67,ALG1L,up
SHCBP1L,1.25998299471363e-71,0.335025066448337,0.426,0.018,4.61267174534711e-67,SHCBP1L,up
CYP4B1,1.05511409085376e-70,0.724821590679547,0.677,0.114,3.86266717520652e-66,CYP4B1,up
E1,7.32015890322143e-70,0.332304975920969,0.34,0,2.67983697288033e-65,E1,up
SERPINB13,6.36307287135552e-68,1.53821768540074,0.77,0.222,2.32945734747454e-63,SERPINB13,up
LSP1,2.14879871498413e-66,1.04395965626818,0.855,0.335,7.86653721568541e-62,LSP1,up
FAM83A,2.33142666106743e-65,0.627898869781556,0.621,0.112,8.53511986350176e-61,FAM83A,up
THSD4,8.15614928482683e-65,-2.37322883100462,0.502,0.894,2.98588469168225e-60,THSD4,down
CLEC2B,8.26314194700212e-65,1.24914515888178,0.881,0.344,3.02505363537801e-60,CLEC2B,up
S100P,5.87127948625743e-64,1.70081676331451,0.647,0.129,2.14941670712398e-59,S100P,up
ARHGAP4,1.31727120711954e-61,0.385786328290002,0.477,0.052,4.82239816214391e-57,ARHGAP4,up
MALL,4.80027700888925e-60,1.15384412576021,0.898,0.42,1.75733341018426e-55,MALL,up
CDKN2B,2.76716615459863e-59,0.860748170575182,0.847,0.331,1.01303185753701e-54,CDKN2B,up
LY6K,3.75390910560091e-59,0.491197930086024,0.574,0.107,1.37426858446944e-54,LY6K,up
CLDN4,1.2421028887146e-58,2.16860230056577,0.945,0.681,4.54721446529529e-54,CLDN4,up
KBTBD12,5.60682428268745e-58,0.278318345467395,0.362,0.018,2.05260230164905e-53,KBTBD12,up
KRT19,2.26440227379973e-54,1.38489263139078,0.987,0.846,8.28975028415344e-50,KRT19,up
CALML5,6.74453152772673e-54,1.08499099044531,0.481,0.072,2.46910554698548e-49,CALML5,up
YBX2,1.38738272202245e-53,0.251908651077506,0.37,0.027,5.07906940705198e-49,YBX2,up
ESR1,1.79712592900523e-53,-1.58841463453332,0.447,0.843,6.57909831349524e-49,ESR1,down
TTC6,4.15099269988915e-53,0.39739756802871,0.549,0.097,1.51963691750242e-48,TTC6,up
GNG4,6.08161649389047e-52,0.525417501875323,0.523,0.095,2.22641898224836e-47,GNG4,up
CEACAM6,1.92365750556488e-51,1.72894191528742,0.596,0.134,7.04231776212246e-47,CEACAM6,up
SERPINB2,4.52370476280447e-51,1.65513326697876,0.677,0.197,1.65608307661509e-46,SERPINB2,up
CCND1,8.6765905352855e-50,-1.40925023845739,0.277,0.756,3.17641302906267e-45,CCND1,down
CLDN7,1.06104156385442e-48,1.16321744618982,0.936,0.624,3.88436706111463e-44,CLDN7,up
GPRC5A,2.86290137026423e-48,1.21487993321702,0.881,0.435,1.04807956264003e-43,GPRC5A,up
TDRD9,1.04329166261535e-47,0.308086314880229,0.34,0.026,3.81938644766853e-43,TDRD9,up
TMSB4X,1.29011812757965e-47,1.09145612077276,0.983,0.886,4.72299345325636e-43,TMSB4X,up
TJP1,1.51962719001308e-47,1.09189478932899,0.949,0.757,5.56320317991889e-43,TJP1,up
NTS,4.05372328210443e-47,1.3640629994992,0.289,0.014,1.48402755634561e-42,NTS,up
OCLN,5.77977111751732e-47,0.69093168446933,0.783,0.351,2.11591640841192e-42,OCLN,up
EMP2,9.46936478931245e-47,0.866825199511642,0.974,0.795,3.46663975571939e-42,EMP2,up
DENND2C,1.67667337158054e-46,1.14775080849952,0.877,0.514,6.13813354601919e-42,DENND2C,up
OVOL1,3.62957690873837e-46,0.931061647494164,0.719,0.283,1.32875181052003e-41,OVOL1,up
ELF3,7.05701382624681e-46,1.28500564570391,0.949,0.616,2.5835021916507e-41,ELF3,up
ANXA1,1.39417051564438e-45,1.54978839283721,0.996,0.969,5.10391884072252e-41,ANXA1,up
PHLDA2,6.7986080947665e-45,1.31670219068229,0.902,0.612,2.48890243741307e-40,PHLDA2,up
CLDN1,7.90231788465256e-45,1.52175855274244,0.843,0.439,2.89295955439246e-40,CLDN1,up
DMKN,7.91718043565641e-45,-1.47361738668376,0.4,0.779,2.89840058568946e-40,DMKN,down
RAP2B,8.25128611699145e-45,1.16972660785262,0.834,0.494,3.0207133345694e-40,RAP2B,up
RAB11FIP1,9.06036845530524e-45,1.2603457881265,0.838,0.468,3.3169102878027e-40,RAB11FIP1,up
IRX5,1.12985270349532e-44,0.405428276648034,0.609,0.169,4.13627776222603e-40,IRX5,up
OXSR1,2.51795859632397e-44,0.866794719692497,0.906,0.575,9.21799462528243e-40,OXSR1,up
CSTA,3.14333042970511e-44,1.13371401921627,0.86,0.405,1.15074183701074e-39,CSTA,up
KLF5,4.65064283452115e-44,0.828503556796159,0.987,0.887,1.70255383528985e-39,KLF5,up
ITPKC,1.6025663986802e-43,1.01137852125527,0.834,0.459,5.86683532892835e-39,ITPKC,up
ALDH1A3,2.68654211635203e-43,0.668063752581939,0.664,0.224,9.83516203375315e-39,ALDH1A3,up
CDKN1A,2.70315135215165e-43,1.14150980526185,0.915,0.671,9.89596678509197e-39,CDKN1A,up
RIOK3,3.40563530747983e-43,0.850704068351563,0.932,0.704,1.24676902971529e-38,RIOK3,up
FOSL1,5.50788749707948e-43,0.939082416426117,0.864,0.487,2.01638253380583e-38,FOSL1,up
AQP3,6.56116238776621e-43,1.46492759528403,0.966,0.782,2.40197593853733e-38,AQP3,up
LGALS7B,1.31899081214812e-42,0.816085175418145,0.728,0.286,4.82869346419305e-38,LGALS7B,up
KRT17,2.20965289899823e-42,1.43687355896131,0.936,0.612,8.08931829794262e-38,KRT17,up
